word,class,level,translation
advertise,verb,a2,рекламировать
advertisement,noun,a2,реклама
advertising,noun,a2,реклама
advice,noun,a1,совет
advise,verb,b1,советовать
advocate,noun,c1,адвокат
aesthetic,adjective,c1,эстетика
affair,noun,b2,роман
affect,verb,a2,оказывать воздействие
affection,noun,c1,привязанность
afford,verb,b1,предоставлять
affordable,adjective,b2,доступный
afraid,adjective,a1,испуганный
after,adverb,a2,после
aftermath,noun,c1,Последствия
afternoon,noun,a1,полдень
afterwards,adverb,b2,после
again,adverb,a1,снова
against,preposition,a2,против
age,noun,a1,возраст
aged,adjective,b1,пожилой
agency,noun,b2,агентство
agenda,noun,b2,повестка дня
agent,noun,b1,агент
aggression,noun,c1,агрессия
aggressive,adjective,b2,агрессивный
ago,adverb,a1,назад
agree,verb,a1,соглашаться
agreement,noun,b1,соглашение
agricultural,adjective,c1,сельскохозяйственный
agriculture,noun,b2,сельское хозяйство
ah,exclamation,a2,ах
ahead,adverb,b1,предстоящий
aid,noun,b2,помогать
aide,noun,c1,помощник
AIDS,noun,b2,СПИД
aim,noun,b1,цель
air,noun,a1,воздух
aircraft,noun,b2,самолеты
airline,noun,a2,авиакомпания
airport,noun,a1,аэропорт
alarm,noun,b1,тревога
albeit,conjunction,c1,хотя
album,noun,b1,альбом
alcohol,noun,b1,алкоголь
alcoholic,adjective,b1,алкоголик
alert,adjective,c1,тревога
alien,adjective,c1,чужак
align,verb,c1,выровнять
alignment,noun,c1,выравнивание
alike,adjective,c1,одинаково
alive,adjective,a2,живой
all,adverb,a2,все
all right,adjective,a2,все в порядке
allegation,noun,c1,утверждение
allege,verb,c1,утверждать
allegedly,adverb,c1,якобы
alliance,noun,c1,альянс
allocate,verb,c1,распределять
allocation,noun,c1,распределение
allow,verb,a2,позволять
allowance,noun,c1,разрешение
ally,noun,c1,союзник
almost,adverb,a2,почти
alone,adjective,a2,один
along,adverb,a2,вдоль
alongside,preposition,b2,рядом
already,adverb,a2,уже
also,adverb,a1,также
alter,verb,b2,альтернативный
alternative,adjective,b1,альтернатива
although,conjunction,a2,хотя
altogether,adverb,b2,вообще
aluminium,noun,c1,алюминий
always,adverb,a1,всегда
amateur,adjective,c1,любитель
amazed,adjective,b1,поражен
amazing,adjective,a1,удивительный
ambassador,noun,c1,посол
ambition,noun,b1,амбиции
ambitious,adjective,b1,амбициозный
ambulance,noun,b2,скорая помощь
amend,verb,c1,исправлять
amendment,noun,c1,поправка
amid,preposition,c1,среди
among,preposition,a2,среди
amount,noun,a2,количество
amusing,adjective,b2,занимательный
analogy,noun,c1,аналогия
analyse,verb,b1,анализировать
analysis,noun,b1,анализ
analyst,noun,b2,аналитик
ancestor,noun,b2,предок
anchor,noun,c1,якорь
ancient,adjective,a2,древний
and,conjunction,a1,и
angel,noun,c1,Ангел
anger,noun,b2,злость
angle,noun,b2,угол
angrily,adverb,,сердито
angry,adjective,a1,злой
animal,noun,a1,животное
animation,noun,b2,анимация
ankle,noun,a2,лодыжка
anniversary,noun,b2,годовщина
announce,verb,b1,объявить
announcement,noun,b1,объявление
annoy,verb,b1,раздражать
annoyed,adjective,b1,раздраженный
annoying,adjective,b1,раздражающий
annual,adjective,b2,ежегодный
annually,adverb,b2,ежегодно
anonymous,adjective,c1,анонимный
another,determiner,a1,другой
answer,noun,a1,отвечать
anticipate,verb,b2,предвидеть
anxiety,noun,b2,беспокойство
anxious,adjective,b2,тревожный
any,adverb,a2,любой
any more,adverb,a2,больше
anybody,pronoun,a2,любой
anyone,pronoun,a1,любой
anything,pronoun,a1,что-либо
anyway,adverb,a2,в любом случае
anywhere,adverb,a2,где угодно
apart,adverb,b1,отдельно
apartment,noun,a1,квартира
apologize,verb,b1,извиняться
apology,noun,b2,извинения
app,noun,a2,приложение
apparatus,noun,c1,аппарат
apparent,adjective,b2,очевидный
apparently,adverb,b2,видимо
appeal,noun,b2,обращаться
appealing,adjective,c1,привлекательный
appear,verb,a2,появляться
appearance,noun,a2,появление
appetite,noun,c1,аппетит
applaud,verb,c1,аплодисменты
apple,noun,a1,яблоко
applicable,adjective,c1,применимый
applicant,noun,b2,кандидат
application,noun,b1,приложение
apply,verb,a2,применять
appoint,verb,c1,назначать
appointment,noun,b1,встреча
appreciate,verb,b1,ценить
appreciation,noun,c1,признательность
approach,noun,b2,подход
appropriate,adjective,b2,соответствующий
appropriately,adverb,b2,соответствующим образом
approval,noun,b2,одобрение
approve,verb,b2,утвердить
approximately,adverb,b1,примерно
April,noun,a1,Апрель
arbitrary,adjective,c1,произвольный
architect,noun,a2,архитектор
architectural,adjective,c1,архитектурный
architecture,noun,a2,архитектура
archive,noun,c1,архив
area,noun,a1,область
arena,noun,c1,Арена
arguably,adverb,c1,Возможно
argue,verb,a2,спорить
argument,noun,a2,аргумент
arise,verb,b2,возникнуть
arm,noun,a1,рука
armed,adjective,b2,вооруженный
arms,noun,b2,оружие
army,noun,a2,армия
around,adverb,a1,вокруг
arrange,verb,a2,договариваться
arrangement,noun,a2,договоренность
array,noun,c1,множество
arrest,noun,b1,арест
arrival,noun,b1,прибытие
arrive,verb,a1,приезжать
arrow,noun,b2,стрелка
art,noun,a1,искусство
article,noun,a1,статья
articulate,verb,c1,Шартикулировать
artificial,adjective,b2,искусственный
artist,noun,a1,художник
artistic,adjective,b2,художественный
artwork,noun,b2,произведение искусства
as,adverb,a2,как
ash,noun,c1,пепел
ashamed,adjective,b2,стыдящийся
aside,adverb,b2,в стороне
ask,verb,a1,просить
asleep,adjective,a2,спящий
aspect,noun,b2,аспект
aspiration,noun,c1,стремление
aspire,verb,c1,стремиться к
assassination,noun,c1,убийство
assault,noun,c1,атаковать
assemble,verb,c1,собирать
assembly,noun,c1,сборка
assert,verb,c1,утверждать
assertion,noun,c1,утверждение
assess,verb,b2,оценивать
assessment,noun,b2,оценка
asset,noun,b2,объект
assign,verb,b2,назначать
assignment,noun,b1,назначение
assist,verb,b1,помощь
assistance,noun,b2,помощь
assistant,adjective,a2,помощник
associate,verb,b2,ассоциирован
associated,adjective,b2,Асвязанный
association,noun,b2,ассоциация
assume,verb,b2,предполагать
assumption,noun,b2,предположение
assurance,noun,c1,гарантия
assure,verb,b2,гарантировать
astonishing,adjective,b2,удивительный
asylum,noun,c1,убежище
at,preposition,a1,в
athlete,noun,a2,спортсмен
atmosphere,noun,b1,атмосфера
atrocity,noun,c1,злодеяние
attach,verb,b1,прикреплять
attachment,noun,b2,вложение
attack,noun,a2,атака
attain,verb,c1,достичь
attempt,noun,b2,пытаться
attend,verb,a2,посещать
attendance,noun,c1,посещаемость
attention,exclamation,a2,внимание
attitude,noun,b1,отношение
attorney,noun,c1,адвокат
attract,verb,b1,привлекать
attraction,noun,b1,притяжение
attractive,adjective,a2,привлекательный
attribute,noun,c1,атрибут
auction,noun,b2,аукцион
audience,noun,a2,аудитория
audio,adjective,b2,аудио
audit,noun,c1,аудитор
August,noun,a1,Август
aunt,noun,a1,тетя
authentic,adjective,c1,аутентичный
author,noun,a2,автор
authority,noun,b1,власть
authorize,verb,c1,разрешать
auto,noun,c1,авто
automatic,adjective,b2,автоматический
automatically,adverb,b2,автоматически
autonomy,noun,c1,автономия
autumn,noun,a1,осень
availability,noun,c1,доступность
available,adjective,a2,доступный
average,adjective,a2,средний
avoid,verb,a2,избегать
await,verb,c1,ждет
award,noun,a2,премия
aware,adjective,b1,осведомленный
awareness,noun,b2,осведомленность
away,adverb,a1,прочь
awful,adjective,a2,ужасный
awkward,adjective,b2,неуклюжий
baby,noun,a1,малыш
back,adjective,a2,назад
backdrop,noun,c1,Фон
background,noun,a2,фон
backing,noun,c1,подложка
backup,noun,c1,резервная копия
backwards,adverb,b1,назад
bacteria,noun,b2,бактерии
bad,adjective,a1,плохой
badge,noun,b2,значок
badly,adverb,a2,плохо
bag,noun,a1,сумка
bail,noun,c1,залог
bake,verb,b1,выпекать
balance,noun,b1,баланс
balanced,adjective,b2,сбалансированный
ball,noun,a1,мяч
ballet,noun,b2,балет
balloon,noun,b2,баллон
ballot,noun,c1,голосование
ban,noun,b1,запрет
banana,noun,a1,банан
band,noun,a1,группа
bank,noun,a1,банк
banner,noun,c1,Баннер
bar,noun,a2,бар
bare,adjective,c1,голый
barely,adverb,b2,едва
bargain,noun,b2,торговаться
barrel,noun,c1,ствол
barrier,noun,b2,барьер
base,noun,b1,база
baseball,noun,a2,бейсбол
based,adjective,a2,основанный на
basement,noun,b2,подвал
basic,adjective,b1,базовый
basically,adverb,b2,по сути
basis,noun,b1,основа
basket,noun,b2,корзина
basketball,noun,a2,баскетбол
bass,noun,c1,басс
bat,noun,b2,летучая мышь
bath,noun,a1,ванна
bathroom,noun,a1,ванная комната
battery,noun,b1,батарея
battle,noun,b1,боевой
battlefield,noun,c1,поле битвы
bay,noun,c1,залив
be,verb,a1,быть
beach,noun,a1,пляж
beam,noun,c1,луч
bean,noun,a2,фасоль
bear,noun,a2,медведь
beast,noun,c1,зверь
beat,noun,b2,бить
beautiful,adjective,a1,красивый
beauty,noun,b1,красота
because,conjunction,a1,потому что
become,verb,a1,становиться
bed,noun,a1,кровать
bedroom,noun,a1,спальня
bee,noun,b1,пчела
beef,noun,a2,говядина
beer,noun,a1,пиво
before,adverb,a2,до
beg,verb,b2,просие
begin,verb,a1,начинать
beginning,noun,a1,начало
behalf,noun,c1,от имени
behave,verb,a2,вести себя
behaviour,noun,a2,поведение
behind,adverb,a1,позади
being,noun,b2,существование
belief,noun,b1,вера
believe,verb,a1,полагать
bell,noun,b1,колокол
belong,verb,a2,принадлежать
beloved,adjective,c1,возлюбленный
below,adverb,a1,ниже
belt,noun,a2,пояс
bench,noun,c1,лавка
benchmark,noun,c1,эталон
bend,noun,b1,сгибать
beneath,preposition,c1,под
beneficial,adjective,b2,выгодный
beneficiary,noun,c1,бенефициар
benefit,noun,a2,выгода
bent,adjective,b2,наклонный
beside,preposition,b2,рядом
besides,adverb,b2,кроме
best,adjective,a1,лучший
bet,noun,b2,ставка
betray,verb,c1,предавать
better,adjective,a1,лучше
between,adverb,a2,между
beyond,adverb,b2,вне
bias,noun,b2,предвзятость
bicycle,noun,a1,велосипед
bid,noun,b2,делать ставку
big,adjective,a1,большой
bike,noun,a1,велосипед
bill,noun,a1,счет
billion,number,a2,миллиард
bin,noun,a2,бин
bind,verb,c1,связывать
biography,noun,c1,биография
biological,adjective,b2,биологический
biology,noun,a2,биология
bird,noun,a1,птица
birth,noun,a2,рождение
birthday,noun,a1,день рождения
biscuit,noun,a2,бисквит
bishop,noun,c1,епископ
bit,noun,a2,кусочек
bite,noun,b1,кусать
bitter,adjective,b2,горький
bizarre,adjective,c1,странно
black,adjective,a1,черный
blade,noun,c1,лезвие
blame,noun,b2,обвинять
blank,adjective,a2,пустой
blanket,noun,b2,одеяло
blast,noun,c1,взрыв
bleed,verb,c1,провести кровотечение
blend,noun,c1,смешивать
bless,verb,c1,благословить
blessing,noun,c1,благословение
blind,adjective,b2,слепой
block,noun,b1,блокировать
blog,noun,a1,блог
blonde,adjective,a1,блондинка
blood,noun,a2,кровь
blow,noun,b2,дуть
blue,adjective,a1,синий
board,noun,a2,доска
boast,verb,c1,хвастаться
boat,noun,a1,лодка
body,noun,a1,тело
boil,verb,a2,кипение
bold,adjective,b2,смелый
bomb,noun,b1,бомбить
bombing,noun,b2,бомбардировка
bond,noun,b2,связь
bone,noun,a2,кость
bonus,noun,c1,бонус
book,noun,a1,книга
booking,noun,b2,бронирование
boom,noun,c1,бум
boost,noun,b2,способствовать росту
boot,noun,a1,ботинок
border,noun,b1,граница
bored,adjective,a1,скучающий
boring,adjective,a1,скучный
born,verb,a1,рожденный
borrow,verb,a2,занимать
boss,noun,a2,босс
both,determiner,a1,оба
bother,verb,b1,беспокоить
bottle,noun,a1,бутылка
bottom,adjective,a2,нижний
bounce,verb,c1,подпрыгивать
bound,adjective,b2,граница
boundary,noun,c1,граница
bow,noun,c1,поклон
bowl,noun,a2,чаша
box,noun,a1,коробка
boy,noun,a1,мальчик
boyfriend,noun,a1,парень
brain,noun,a2,мозг
branch,noun,b1,ветвь
brand,noun,b1,бренд
brave,adjective,b1,храбрый
breach,noun,c1,нарушение
bread,noun,a1,хлеб
break,noun,a1,перерыв
breakdown,noun,c1,авария
breakfast,noun,a1,завтрак
breakthrough,noun,c1,прорыв
breast,noun,b2,грудь
breath,noun,b1,дыхание
breathe,verb,b1,дышать
breathing,noun,b1,дыхание
breed,noun,c1,порода
brick,noun,b2,кирпич
bride,noun,b1,невеста
bridge,noun,a2,мост
brief,adjective,b2,краткий
briefly,adverb,b2,кратко
bright,adjective,a2,яркий
brilliant,adjective,a2,блестящий
bring,verb,a1,приносить
broad,adjective,b2,широкий
broadband,noun,c1,широкополосная связь
broadcast,noun,b2,транслировать
broadcaster,noun,b2,вещатель
broadly,adverb,b2,широко
broken,adjective,a2,сломанный
brother,noun,a1,брат
brown,adjective,a1,коричневый
browser,noun,c1,браузер
brush,noun,a2,щетка
brutal,adjective,c1,жестокий
bubble,noun,b1,пузырь
buck,noun,c1,бак
buddy,noun,c1,приятель
budget,noun,b2,бюджет
buffer,noun,c1,буфер
bug,noun,b2,ошибка
build,verb,a1,строить
building,noun,a1,здание
bulk,noun,c1,масса
bullet,noun,b2,пуля
bunch,noun,b2,связка
burden,noun,c1,груз
bureaucracy,noun,c1,бюрократия
burial,noun,c1,погребение
burn,noun,b2,гореть
burst,verb,c1,лопаться
bury,verb,b1,хоронить
bus,noun,a1,автобус
bush,noun,b2,куст
business,noun,a1,бизнес
businessman,noun,a2,бизнесмен
busy,adjective,a1,занятый
but,conjunction,a1,но
butter,noun,a1,масло
button,noun,a2,кнопка
buy,verb,a1,купить
by,adverb,b1,к
bye,exclamation,a1,пока
cabin,noun,b2,домик
cabinet,noun,c1,шкаф
cable,noun,b2,кабель
cafe,noun,a1,кафе
cake,noun,a1,торт
calculate,verb,b2,рассчитать
calculation,noun,c1,расчет
call,noun,a1,вызов
calm,adjective,b1,спокойствие
camera,noun,a1,камера
camp,noun,a2,лагерь
campaign,noun,b1,кампания
camping,noun,a2,кемпинг
campus,noun,b1,кампус
can,noun,a2,может
canal,noun,b2,канал
cancel,verb,b2,отмена
cancer,noun,b2,рак
candidate,noun,b1,кандидат
candle,noun,b2,свеча
cannot,modal verb,a1,не может
canvas,noun,c1,холст
cap,noun,b1,капля
capability,noun,c1,способность
capable,adjective,b2,способный
capacity,noun,b2,емкость
capital,adjective,a1,капитал
capitalism,noun,c1,капитализм
capitalist,adjective,c1,капиталист
captain,noun,b1,капитан
capture,noun,b2,захватывать
car,noun,a1,машина
carbon,noun,b2,углерод
card,noun,a1,карта
care,noun,a2,уход
career,noun,a1,карьера
careful,adjective,a2,осторожный
carefully,adverb,a2,осторожно
careless,adjective,b1,беспечный
cargo,noun,c1,груз
carpet,noun,a2,ковер
carriage,noun,c1,перевозка
carrot,noun,a1,морковь
carry,verb,a1,нести
cartoon,noun,a2,мультфильм
carve,verb,c1,вырезать
case,noun,a2,случай
cash,noun,a2,наличные
casino,noun,c1,казино
cast,noun,b2,бросать
castle,noun,a2,замок
casual,adjective,b2,повседневный
casualty,noun,c1,жертва
cat,noun,a1,кот
catalogue,noun,c1,каталог
catch,noun,b2,ловить
category,noun,b1,категория
cater,verb,c1,пособие
cattle,noun,c1,крупный рогатый скот
cause,noun,a2,причина
caution,noun,c1,осторожность
cautious,adjective,c1,осторожный
cave,noun,b2,пещера
CD,noun,a1,Диск
cease,verb,c1,прекратить
ceiling,noun,b1,потолок
celebrate,verb,a2,праздновать
celebration,noun,b1,Празднование
celebrity,noun,a2,знаменитость
cell,noun,b2,клетка
cemetery,noun,c1,кладбище
cent,noun,a1,цент
central,adjective,b1,центральный
centre,noun,a1,центр
century,noun,a1,век
ceremony,noun,b1,церемония
certain,adjective,a2,определенный
certainly,adverb,a2,конечно
certainty,noun,b2,уверенность
certificate,noun,b2,сертификат
chain,noun,b1,цепь
chair,noun,a1,стул
chairman,noun,b2,председатель
challenge,noun,b1,испытание
challenging,adjective,b2,испытывающий
chamber,noun,c1,камера
champion,noun,b1,чемпион
championship,noun,b2,чемпионат
chance,noun,a2,шанс
change,noun,a1,изменять
channel,noun,b1,канал
chaos,noun,c1,хаос
chapter,noun,b1,глава
character,noun,a2,характер
characteristic,adjective,b2,характеристика
characterize,verb,c1,характеризовать
charge,noun,b1,заряжать
charity,noun,a2,благотворительность
charm,noun,c1,шарм
charming,adjective,b2,очаровательный
chart,noun,a1,диаграмма
charter,noun,c1,чартер
chase,noun,b2,гнаться
chat,noun,a2,чат
cheap,adjective,a1,дешевый
cheat,noun,b1,изменять
check,noun,a2,проверять
cheek,noun,b2,щека
cheer,noun,b2,радость
cheerful,adjective,b1,жизнерадостный
cheese,noun,a1,сыр
chef,noun,a2,шеф -повар
chemical,adjective,b1,химический
chemistry,noun,a2,химия
chest,noun,b1,грудь
chicken,noun,a1,курица
chief,adjective,b2,главный
child,noun,a1,ребенок
childhood,noun,b1,детство
chip,noun,a2,чип
chocolate,noun,a1,шоколад
choice,noun,a2,выбор
choir,noun,b2,хор
choose,verb,a1,выбирать
chop,verb,b2,нарезать
chronic,adjective,c1,хронический
chunk,noun,c1,кусок
church,noun,a2,церковь
cigarette,noun,a2,сигарета
cinema,noun,a1,кино
circle,noun,a2,круг
circuit,noun,b2,схема
circulate,verb,c1,циркулировать
circulation,noun,c1,циркуляция
circumstance,noun,b2,обстоятельство
cite,verb,b2,цитировать
citizen,noun,b2,гражданин
citizenship,noun,c1,гражданство
city,noun,a1,город
civic,adjective,c1,гражданский
civil,adjective,b2,гражданский
civilian,adjective,c1,гражданское лицо
civilization,noun,b2,цивилизация
claim,noun,b1,требовать
clarify,verb,b2,объяснить
clarity,noun,c1,ясность
clash,noun,c1,столкновение
class,noun,a1,сорт
classic,adjective,b2,Классик
classical,adjective,a2,классический
classification,noun,c1,классификация
classify,verb,b2,классифицировать
classroom,noun,a1,классная комната
clause,noun,b1,пункт
clean,adjective,a1,чистый
cleaning,noun,,уборка
clear,adjective,a2,прозрачный
clearly,adverb,a2,четко
clerk,noun,b2,клерк
clever,adjective,a2,умный
click,noun,b1,нажимать
client,noun,b1,клиент
cliff,noun,b2,утес
climate,noun,a2,климат
climb,noun,b1,взбираться
cling,verb,c1,цепляться
clinic,noun,b2,клиника
clinical,adjective,c1,клинический
clip,noun,b2,клип
clock,noun,a1,часы
close,adjective,a2,закрывать
closed,adjective,a2,закрыто
closely,adverb,b2,близко
closure,noun,c1,закрытие
cloth,noun,b1,ткани
clothes,noun,a1,одежда
clothing,noun,a2,одежда
cloud,noun,a2,облако
club,noun,a1,клуб
clue,noun,b1,зацепка
cluster,noun,c1,кластер
coach,noun,a2,тренер
coal,noun,b1,уголь
coalition,noun,c1,коалиция
coast,noun,a2,побережье
coastal,adjective,c1,прибрежный
coat,noun,a1,пальто
cocktail,noun,c1,коктейль
code,noun,a2,код
coffee,noun,a1,кофе
cognitive,adjective,c1,когнитивный
coin,noun,b1,монета
coincide,verb,c1,совпадает
coincidence,noun,b2,совпадение
cold,adjective,a1,холодный
collaborate,verb,c1,сотрудничать
collaboration,noun,c1,Сотрудничество
collapse,noun,b2,крах
colleague,noun,a2,коллега
collect,verb,a2,собирать
collection,noun,b1,коллекция
collective,adjective,c1,коллектив
collector,noun,b2,коллекционер
college,noun,a1,колледж
collision,noun,c1,столкновение
colonial,adjective,c1,колониальный
colony,noun,b2,колония
colour,noun,a1,цвет
coloured,adjective,b1,цветной
colourful,adjective,b2,красочный
column,noun,a2,столбец
columnist,noun,c1,обозреватель
combat,noun,c1,боевой
combination,noun,b2,комбинация
combine,verb,b1,комбинировать
come,verb,a1,приходить
comedy,noun,a2,комедия
comfort,noun,b2,комфорт
comfortable,adjective,a2,комфортный
comic,adjective,b2,комикс
command,noun,b2,командование
commander,noun,b2,командир
commence,verb,c1,начнется
comment,noun,a2,комментарий
commentary,noun,c1,комментарий
commentator,noun,c1,комментатор
commerce,noun,c1,коммерция
commercial,adjective,b1,коммерческий
commission,noun,b2,комиссия
commissioner,noun,c1,комиссар
commit,verb,b1,совершить
commitment,noun,b2,обязательство
committee,noun,b2,комитет
commodity,noun,c1,товар
common,adjective,a1,общий
commonly,adverb,b2,обычно
communicate,verb,a2,общаться
communication,noun,b1,коммуникация
communist,adjective,c1,коммунистический
community,noun,a2,сообщество
companion,noun,c1,товарищ
company,noun,a1,компания
comparable,adjective,c1,сопоставимо
comparative,adjective,b2,сравнительный
compare,verb,a1,сравнивать
comparison,noun,b1,сравнение
compassion,noun,c1,сострадание
compel,verb,c1,принуждать
compelling,adjective,c1,неотразимый
compensate,verb,c1,компенсировать
compensation,noun,c1,компенсация
compete,verb,a2,соревноваться
competence,noun,c1,компетенция
competent,adjective,c1,компетентный
competition,noun,a2,соревнование
competitive,adjective,b1,конкурентоспособный
competitor,noun,b1,конкурент
compile,verb,c1,компиляция
complain,verb,a2,жаловаться
complaint,noun,b1,жалоба
complement,verb,c1,дополнение
complete,adjective,a1,полный
completely,adverb,a2,полностью
completion,noun,b2,завершение
complex,adjective,b1,сложный
complexity,noun,c1,сложность
compliance,noun,c1,согласие
complicated,adjective,b2,сложный
complication,noun,c1,осложнение
comply,verb,c1,исполнять
component,noun,b2,компонент
compose,verb,b2,сочинять
composer,noun,b2,композитор
composition,noun,c1,композиция
compound,noun,b2,сложный
comprehensive,adjective,b2,всесторонний
comprise,verb,b2,состоит из
compromise,noun,c1,компромисс
compulsory,adjective,b2,принудительный
compute,verb,c1,вычислять
computer,noun,a1,компьютер
conceal,verb,c1,скрывать
concede,verb,c1,уступать
conceive,verb,c1,задуматься
concentrate,verb,b1,концентрироваться
concentration,noun,b2,концентрация
concept,noun,b2,концепция
conception,noun,c1,концепция
concern,noun,b2,беспокойство
concerned,adjective,b2,обеспокоенный
concert,noun,a1,концерт
concession,noun,c1,концессия
conclude,verb,b1,заключить
conclusion,noun,b1,заключение
concrete,adjective,b2,конкретный
condemn,verb,c1,осуждать
condition,noun,a2,состояние
conduct,noun,b2,руководить
confer,verb,c1,конференц
conference,noun,a2,конференция
confess,verb,b2,признаваться
confession,noun,c1,признание
confidence,noun,b2,уверенность
confident,adjective,b1,уверенный
configuration,noun,c1,конфигурация
confine,verb,c1,ограничивать
confirm,verb,b1,подтверждать
confirmation,noun,c1,подтверждение
conflict,noun,b2,конфликт
confront,verb,c1,противостоять
confrontation,noun,c1,конфронтация
confuse,verb,b1,запутать
confused,adjective,b1,смущенный
confusing,adjective,b2,сбивает с толку
confusion,noun,b2,путаница
congratulate,verb,c1,поздравить
congregation,noun,c1,собрание
congressional,adjective,c1,Конгресс
connect,verb,a2,соединять
connected,adjective,a2,подключенный
connection,noun,b1,связь
conquer,verb,c1,завоевывать
conscience,noun,c1,совесть
conscious,adjective,b2,сознательный
consciousness,noun,c1,сознание
consecutive,adjective,c1,последовательный
consensus,noun,c1,Консенсус
consent,noun,c1,согласие
consequence,noun,b1,последствие
consequently,adverb,b2,следовательно
conservation,noun,b2,сохранение
conservative,adjective,b2,консервативный
conserve,verb,c1,сохранить
consider,verb,a2,учитывать
considerable,adjective,b2,значительно
considerably,adverb,b2,значительно
consideration,noun,b2,рассмотрение
consist,verb,b1,состоять
consistency,noun,c1,последовательность
consistent,adjective,b2,последовательный
consistently,adverb,b2,последовательно
consolidate,verb,c1,консолидировать
conspiracy,noun,b2,заговор
constant,adjective,b2,постоянный
constantly,adverb,b2,постоянно
constituency,noun,c1,избирательный округ
constitute,verb,c1,составляют
constitution,noun,c1,Конституция
constitutional,adjective,c1,конституционный
constraint,noun,c1,ограничение
construct,verb,b2,конструкция
construction,noun,b2,строительство
consult,verb,b2,консультироваться
consultant,noun,b2,консультант
consultation,noun,c1,консультация
consume,verb,b1,потреблять
consumer,noun,b1,потребитель
consumption,noun,b2,потребление
contact,noun,b1,контакт
contain,verb,a2,содержать
container,noun,b1,контейнер
contemplate,verb,c1,созерцать
contemporary,adjective,b2,современный
contempt,noun,c1,презрение
contend,verb,c1,сорвать
contender,noun,c1,претендент
content,adjective,c1,содержание
contention,noun,c1,раздор
contest,noun,b2,конкурс
context,noun,a2,контекст
continent,noun,a2,континент
continually,adverb,c1,постоянно
continue,verb,a2,продолжать
continuous,adjective,b1,непрерывный
contract,noun,b2,договор
contractor,noun,c1,подрядчик
contradiction,noun,c1,противоречие
contrary,adjective,c1,наоборот
contrast,noun,b1,контраст
contribute,verb,b2,способствовать
contribution,noun,b2,вклад
contributor,noun,c1,участник
control,noun,a2,контроль
controversial,adjective,b2,спорный
controversy,noun,b2,спор
convenience,noun,b2,удобство
convenient,adjective,b1,удобный
convention,noun,b2,соглашение
conventional,adjective,b2,общепринятый
conversation,noun,a1,беседа
conversion,noun,c1,обращение
convert,verb,b2,конвертировать
convey,verb,b2,передавать
